Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2016-03-01,24.684106826782227,27.247499465942383,27.604999542236328,24.354999542236328,24.412500381469727,2984198400
2016-04-01,21.23027992248535,23.434999465942383,28.09749984741211,23.127500534057617,27.19499969482422,3489534800
2016-05-01,22.616342544555664,24.96500015258789,25.1825008392334,22.36750030517578,23.49250030517578,3602686000
2016-06-01,21.783353805541992,23.899999618530273,25.47249984741211,22.875,24.7549991607666,3117990800
2016-07-01,23.74523162841797,26.052499771118164,26.137500762939453,23.592500686645508,23.872499465942383,2743118400
2016-08-01,24.17588233947754,26.524999618530273,27.5575008392334,26.0,26.102500915527344,2520514000
2016-09-01,25.8990478515625,28.262500762939453,29.045000076293945,25.63249969482422,26.53499984741211,3872062400
2016-10-01,26.011301040649414,28.385000228881836,29.672500610351562,28.06999969482422,28.177499771118164,2747657200
2016-11-01,25.31943702697754,27.6299991607666,28.4424991607666,26.020000457763672,28.364999771118164,2886220000
2016-12-01,26.669864654541016,28.954999923706055,29.5049991607666,27.0625,27.592500686645508,2435086800
2017-01-01,27.943260192871094,30.337499618530273,30.610000610351562,28.690000534057617,28.950000762939453,2252488000
2017-02-01,31.54469108581543,34.247501373291016,34.369998931884766,31.752500534057617,31.75749969482422,2299874400
2017-03-01,33.2240104675293,35.915000915527344,36.125,34.26250076293945,34.47249984741211,2246513600
2017-04-01,33.22168731689453,35.912498474121094,36.3650016784668,35.01499938964844,35.9275016784668,1493216400
2017-05-01,35.328548431396484,38.189998626708984,39.162498474121094,36.067501068115234,36.275001525878906,2615927200
2017-06-01,33.44473648071289,36.005001068115234,38.994998931884766,35.54999923706055,38.29249954223633,2736712400
2017-07-01,34.53850173950195,37.182498931884766,38.497501373291016,35.602500915527344,36.220001220703125,1688047600
2017-08-01,38.08456039428711,41.0,41.130001068115234,37.102500915527344,37.275001525878906,2644276000
2017-09-01,35.93074035644531,38.529998779296875,41.23500061035156,37.290000915527344,41.20000076293945,2721496400
2017-10-01,39.40911102294922,42.2599983215332,42.412498474121094,38.1150016784668,38.564998626708984,2017165200
2017-11-01,40.064231872558594,42.962501525878906,44.060001373291016,41.31999969482422,42.467498779296875,2402653600
2017-12-01,39.5952262878418,42.307498931884766,44.29999923706055,41.6150016784668,42.48749923706055,2124735200
2018-01-01,39.1740837097168,41.85749816894531,45.025001525878906,41.17499923706055,42.540000915527344,2638717600
2018-02-01,41.675262451171875,44.529998779296875,45.154998779296875,37.560001373291016,41.79249954223633,3711577200
2018-03-01,39.41603469848633,41.94499969482422,45.875,41.23500061035156,44.6349983215332,2854910800
2018-04-01,38.824012756347656,41.314998626708984,44.73500061035156,40.157501220703125,41.65999984741211,2664617200
2018-05-01,43.90079116821289,46.717498779296875,47.592498779296875,41.317501068115234,41.602500915527344,2483905200
2018-06-01,43.65501022338867,46.27750015258789,48.54999923706055,45.182498931884766,46.997501373291016,2110498000
2018-07-01,44.87661361694336,47.5724983215332,48.9900016784668,45.85499954223633,45.95500183105469,1574765600
2018-08-01,53.6826171875,56.907501220703125,57.217498779296875,49.32749938964844,49.782501220703125,2801275600
2018-09-01,53.42359924316406,56.435001373291016,57.41749954223633,53.82500076293945,57.102500915527344,2715888000
2018-10-01,51.795372009277344,54.71500015258789,58.36750030517578,51.522499084472656,56.98749923706055,3158994000
2018-11-01,42.2627067565918,44.64500045776367,55.59000015258789,42.564998626708984,54.76250076293945,3845305600
2018-12-01,37.460975646972656,39.435001373291016,46.23500061035156,36.647499084472656,46.1150016784668,3595690000
2019-01-01,39.52710723876953,41.61000061035156,42.25,35.5,38.72249984741211,3312349600
2019-02-01,41.12062454223633,43.287498474121094,43.967498779296875,41.48249816894531,41.7400016784668,1890162400
2019-03-01,45.30385971069336,47.48749923706055,49.42250061035156,42.375,43.56999969482422,2603925600
2019-04-01,47.86062240600586,50.16749954223633,52.119998931884766,47.095001220703125,47.90999984741211,2024470800
2019-05-01,41.75491714477539,43.76750183105469,53.82749938964844,43.747501373291016,52.470001220703125,2957826400
2019-06-01,47.38651657104492,49.47999954223633,50.39250183105469,42.567501068115234,43.900001525878906,2060874800
2019-07-01,51.006595611572266,53.2599983215332,55.342498779296875,49.602500915527344,50.79249954223633,1895406800
2019-08-01,49.977073669433594,52.185001373291016,54.50749969482422,48.14500045776367,53.474998474121094,2724326400
2019-09-01,53.82721710205078,55.99250030517578,56.60499954223633,51.05500030517578,51.60749816894531,2170268400
2019-10-01,59.78506088256836,62.189998626708984,62.4375,53.782501220703125,56.26750183105469,2433210800
2019-11-01,64.22879791259766,66.8125,67.0,62.290000915527344,62.3849983215332,1793326000
2019-12-01,70.78546905517578,73.4124984741211,73.49250030517578,64.07250213623047,66.81749725341797,2388794800
2020-01-01,74.60857391357422,77.37750244140625,81.9625015258789,73.1875,74.05999755859375,2934370400
2020-02-01,65.89446258544922,68.33999633789062,81.80500030517578,64.09249877929688,76.07499694824219,3019279200
2020-03-01,61.443050384521484,63.5724983215332,76.0,53.15250015258789,70.56999969482422,6280072400
2020-04-01,70.98966979980469,73.44999694824219,73.63249969482422,59.224998474121094,61.625,3265299200
2020-05-01,76.82254028320312,79.48500061035156,81.05999755859375,71.4625015258789,71.5625,2805936000
2020-06-01,88.38375091552734,91.19999694824219,93.09500122070312,79.30249786376953,79.4375,3243375600
2020-07-01,102.97869873046875,106.26000213623047,106.41500091552734,89.1449966430664,91.27999877929688,3020283200
2020-08-01,125.05525970458984,129.0399932861328,131.0,107.89250183105469,108.19999694824219,4070061100
2020-09-01,112.43614196777344,115.80999755859375,137.97999572753906,103.0999984741211,132.75999450683594,3885245100
2020-10-01,105.68862915039062,108.86000061035156,125.38999938964844,107.72000122070312,117.63999938964844,2894666500
2020-11-01,115.58175659179688,119.05000305175781,121.98999786376953,107.31999969482422,109.11000061035156,2123077300
2020-12-01,129.04661560058594,132.69000244140625,138.7899932861328,120.01000213623047,121.01000213623047,2322189600
2021-01-01,128.33668518066406,131.9600067138672,145.08999633789062,126.37999725341797,133.52000427246094,2240262000
2021-02-01,117.93050384521484,121.26000213623047,137.8800048828125,118.38999938964844,133.75,1833855600
2021-03-01,118.97357177734375,122.1500015258789,128.72000122070312,116.20999908447266,123.75,2650418200
2021-04-01,128.04144287109375,131.4600067138672,137.07000732421875,122.48999786376953,123.66000366210938,1889857500
2021-05-01,121.36959075927734,124.61000061035156,134.07000732421875,122.25,132.0399932861328,1711934900
2021-06-01,133.62503051757812,136.9600067138672,137.41000366210938,123.12999725341797,125.08000183105469,1606590000
2021-07-01,142.3083038330078,145.86000061035156,150.0,135.75999450683594,136.60000610351562,1919035100
2021-08-01,148.1329345703125,151.8300018310547,153.49000549316406,144.5,146.36000061035156,1461542800
2021-09-01,138.2613067626953,141.5,157.25999450683594,141.27000427246094,152.8300018310547,1797835100
2021-10-01,146.37132263183594,149.8000030517578,153.1699981689453,138.27000427246094,141.89999389648438,1565079200
2021-11-01,161.51654052734375,165.3000030517578,165.6999969482422,147.47999572753906,148.99000549316406,1691029000
2021-12-01,173.7589874267578,177.57000732421875,182.1300048828125,157.8000030517578,167.47999572753906,2444766700
2022-01-01,171.02883911132812,174.77999877929688,182.94000244140625,154.6999969482422,177.8300018310547,2108446000
2022-02-01,161.57614135742188,165.1199951171875,176.64999389648438,152.0,174.00999450683594,1627516300
2022-03-01,171.08013916015625,174.61000061035156,179.61000061035156,150.10000610351562,164.6999969482422,2180800100
2022-04-01,154.4630126953125,157.64999389648438,178.49000549316406,155.3800048828125,174.02999877929688,1687795600
2022-05-01,145.83111572265625,148.83999633789062,166.47999572753906,132.61000061035156,156.7100067138672,2401040300
2022-06-01,134.15293884277344,136.72000122070312,151.74000549316406,129.0399932861328,149.89999389648438,1749099800
2022-07-01,159.45872497558594,162.50999450683594,163.6300048828125,135.66000366210938,136.0399932861328,1447125400
2022-08-01,154.26805114746094,157.22000122070312,176.14999389648438,157.13999938964844,161.00999450683594,1510239600
2022-09-01,135.79351806640625,138.1999969482422,164.25999450683594,138.0,156.63999938964844,2084722800
2022-10-01,150.66989135742188,153.33999633789062,157.5,134.3699951171875,138.2100067138672,1868139700
2022-11-01,145.4523468017578,148.02999877929688,155.4499969482422,134.3800048828125,155.0800018310547,1724847700
2022-12-01,127.87928771972656,129.92999267578125,150.9199981689453,125.87000274658203,148.2100067138672,1675731200
2023-01-01,142.01268005371094,144.2899932861328,147.22999572753906,124.16999816894531,130.27999877929688,1443652500
2023-02-01,145.0834197998047,147.41000366210938,157.3800048828125,141.32000732421875,143.97000122070312,1307198900
2023-03-01,162.545166015625,164.89999389648438,165.0,143.89999389648438,146.8300018310547,1520266600
2023-04-01,167.25694274902344,169.67999267578125,169.85000610351562,159.77999877929688,164.27000427246094,969776400
2023-05-01,174.71884155273438,177.25,179.35000610351562,164.30999755859375,169.27999877929688,1275364700
2023-06-01,191.46453857421875,193.97000122070312,194.47999572753906,176.92999267578125,177.6999969482422,1297383300
2023-07-01,193.9124755859375,196.4499969482422,198.22999572753906,186.60000610351562,193.77999877929688,996114000
2023-08-01,185.44332885742188,187.8699951171875,196.72999572753906,171.9600067138672,196.24000549316406,1322657800
2023-09-01,169.2267303466797,171.2100067138672,189.97999572753906,167.6199951171875,189.49000549316406,1337823000
2023-10-01,168.7918243408203,170.77000427246094,182.33999633789062,165.6699981689453,171.22000122070312,1172816900
2023-11-01,187.7496337890625,189.9499969482422,192.92999267578125,170.1199951171875,171.0,1099651600
2023-12-01,190.55047607421875,192.52999877929688,199.6199951171875,187.4499969482422,190.3300018310547,1063181200
2024-01-01,182.50405883789062,184.39999389648438,196.3800048828125,180.1699981689453,187.14999389648438,1187490800
2024-02-01,178.89161682128906,180.75,191.0500030517578,179.25,183.99000549316406,1161553500
2024-03-01,169.93345642089844,171.47999572753906,180.52999877929688,168.49000549316406,179.5500030517578,1433151800
2024-04-01,168.79385375976562,170.3300018310547,178.36000061035156,164.0800018310547,171.19000244140625,1246144100
2024-05-01,190.51612854003906,192.25,193.0,169.11000061035156,169.5800018310547,1336511300
2024-06-01,209.00357055664062,210.6199951171875,220.1999969482422,192.14999389648438,192.89999389648438,1717952100
2024-07-01,220.3756103515625,222.0800018310547,237.22999572753906,211.9199981689453,212.08999633789062,1153099800
2024-08-01,227.2425079345703,229.0,232.9199981689453,196.0,224.3699951171875,1122667000
2024-09-01,231.4794464111328,233.0,233.08999633789062,213.9199981689453,228.5500030517578,1232097700
2024-10-01,224.4357147216797,225.91000366210938,237.49000549316406,221.3300018310547,229.52000427246094,930736000
2024-11-01,235.7811737060547,237.3300018310547,237.80999755859375,219.7100067138672,220.97000122070312,891588300
2024-12-01,249.05946350097656,250.4199981689453,260.1000061035156,237.16000366210938,237.27000427246094,977916100
2025-01-01,234.71780395507812,236.0,249.10000610351562,219.3800048828125,248.92999267578125,1200176400
2025-02-01,240.5260772705078,241.83999633789062,250.0,225.6999969482422,229.99000549316406,862272300
2025-03-01,221.16607666015625,222.1300048828125,244.02999877929688,208.4199981689453,241.7899932861328,1115239500
2025-04-01,211.57785034179688,212.5,225.19000244140625,169.2100067138672,219.80999755859375,1607318600
2025-05-01,199.97842407226562,200.85000610351562,214.55999755859375,193.25,209.0800018310547,1195728200
2025-06-01,204.54754638671875,205.1699981689453,207.38999938964844,195.07000732421875,200.27999877929688,1100409300
2025-07-01,206.94027709960938,207.57000732421875,216.22999572753906,206.13999938964844,206.6699981689453,1079935600
2025-08-01,231.4357147216797,232.13999938964844,235.1199951171875,201.5,210.8699951171875,1218079100
2025-09-01,254.14559936523438,254.6300048828125,257.6000061035156,225.9499969482422,229.25,1265536400
2025-10-01,269.85565185546875,270.3699951171875,277.32000732421875,244.0,255.0399932861328,1097142200
2025-11-01,278.31951904296875,278.8500061035156,280.3800048828125,265.32000732421875,270.4200134277344,877578200
2025-12-01,271.6058349609375,271.8599853515625,288.6199951171875,266.95001220703125,278.010009765625,924528800
2026-01-01,259.2374267578125,259.4800109863281,277.8399963378906,243.4199981689453,272.260009765625,1040017300
2026-02-01,275.5,275.5,280.9100036621094,259.2099914550781,260.0299987792969,514569210
